dataset,it,size,implementation,ari,ri,jaccard
fullsample,1,1000000,jl,0.8038673449575237,0.9678588000119048,0.9870839542970691
fullsample,1,1000000,jl32,0.6861103897001103,0.9570323569730945,0.9870839542970691
fullsample,1,1000000,py,0.6645573440650127,0.9401111414140976,1.0
subsample_it_1_size_100000,1,100000,jl,0.8148304903673134,0.9705689602213131,0.9890601690701144
subsample_it_1_size_100000,1,100000,jl32,0.8877127494351047,0.9825341441310246,0.9890601690701144
subsample_it_1_size_100000,1,100000,py,0.6698887899511217,0.9411027583402781,1.0
subsample_it_1_size_12000,1,12000,jl,0.8535949056641108,0.9700326465535454,0.9870839542970691
subsample_it_1_size_12000,1,12000,jl32,0.9203426747390971,0.9835982277767094,0.9870839542970691
subsample_it_1_size_12000,1,12000,py,0.5725251412121216,0.914020010327902,1.0
subsample_it_1_size_125000,1,125000,jl,0.8140136770374431,0.9711723451507736,0.9900497512437811
subsample_it_1_size_125000,1,125000,jl32,0.8664709130986448,0.9790103900871794,0.9900497512437811
subsample_it_1_size_125000,1,125000,py,0.5531708829320978,0.9167350032445551,1.0
subsample_it_1_size_25000,1,25000,jl,0.7759329594685793,0.9613982259384204,0.9890601690701144
subsample_it_1_size_25000,1,25000,jl32,0.8379144381519067,0.9702052944660863,0.9890601690701144
subsample_it_1_size_25000,1,25000,py,0.5934424187986596,0.9119698996766297,1.0
subsample_it_1_size_250000,1,250000,jl,0.7362504611956324,0.9559283084661132,0.9930244145490782
subsample_it_1_size_250000,1,250000,jl32,0.8007477440800069,0.9649764928833721,0.9930244145490782
subsample_it_1_size_250000,1,250000,py,0.7216338811082098,0.9466914444499027,1.0
subsample_it_1_size_3000,1,3000,jl,0.9654479901459416,0.992252218880682,0.9841269841269841
subsample_it_1_size_3000,1,3000,jl32,0.9711304167134313,0.9935313336881166,0.9841269841269841
subsample_it_1_size_3000,1,3000,py,0.5328909657034555,0.8759152607871451,0.999000499750125
subsample_it_1_size_50000,1,50000,jl,0.7129601034947698,0.9410849379686034,0.9860973187686196
