dataset,it,size,implementation,ari,ri,jaccard,peakmem
1M_gz,1,990830,jl,0.6472606117672042,0.939457555573503,0.9870839542970691,81.36508178710938
1M_gz,1,990830,py,0.651562638717699,0.9367507038795881,1.0,0.0
210129_raw_BALPBMC,1,523041,jl,0.9478631445919284,0.9920617234159073,0.9890601690701144,29.220359802246094
210129_raw_BALPBMC,1,523041,py,0.8287102574121719,0.9698502297678198,1.0,31.376445770263672
3k,1,2700,jl,0.9710542328823254,0.9883904875605506,0.9930244145490782,1.1930809020996094
3k,1,2700,jl32,0.974427442768459,0.9897325484061312,0.9940179461615155,0.0
3k,1,2700,py,0.8034695364050505,0.9158346712774279,1.0,1.6060028076171875
l5_all,1,160601,jl,0.8494996480237831,0.9890587234037141,0.9910403185664509,0.0
l5_all,1,160601,py,0.7442965178414237,0.977484272785654,1.0,0.0
pbmc_68k,1,68551,jl,0.8432783542156213,0.9696179069710603,0.9811788013868251,4.3733062744140625
pbmc_68k,1,68551,jl32,0.8671048809195258,0.9736425219081991,0.9811788013868251,0.0
pbmc_68k,1,68551,py,0.7836566067770305,0.9534222283736618,0.9851116625310173,4.515472412109375
