dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
1M_gz,1,990830,py,0.5834353699207768,1,0.0,0.0007827921730027276,0.00467050217038284,0.022804746046038965,0.05583665346500866
1M_gz,1,990830,py,0.5834353699207768,2,1.1379786002407855e-13,0.0053450621384236174,0.025028065436630054,0.08330666526177033,0.20024746490393808
1M_gz,1,990830,py,0.5834353699207768,3,2.3148150063434514e-13,0.010671608921730358,0.048655243814071936,0.14806220418714147,0.3541460546653662
1M_gz,1,990830,py,0.5834353699207768,4,2.220446049250313e-16,0.017343664139946507,0.07635910751927116,0.22093690774466668,0.5263250607539018
1M_gz,1,990830,py,0.5834353699207768,5,1.687538997430238e-14,0.025248849859067196,0.10995883795198846,0.30383223113907587,0.7216963373435834
1M_gz,1,990830,py,0.5834353699207768,6,7.216449660063518e-15,0.035751299186880525,0.1530558533387406,0.4027062502707429,0.9531322320274997
1M_gz,1,990830,py,0.5834353699207768,7,1.5892842597509116e-12,0.04790877843407362,0.2036611694833682,0.513857810357857,1.21277725768362
1M_gz,1,990830,py,0.5834353699207768,8,1.0014211682118912e-13,0.06259706179339714,0.26535190171999823,0.6391571884153716,1.503985145824923
1M_gz,1,990830,py,0.5834353699207768,9,7.264411294727324e-12,0.08125349787912536,0.33741867927436925,0.7689957151247769,1.8006075834322193
1M_gz,1,990830,py,0.5834353699207768,10,2.6393331964413846e-12,0.10434949662649934,0.420831400248846,0.893645276918414,1.9999999999421343
1M_gz,1,990830,py,0.5834353699207768,11,1.8640644583456378e-13,0.1352723533571881,0.507129214717809,1.0058211274521212,1.9999999999765532
1M_gz,1,990830,py,0.5834353699207768,12,6.129985408165339e-12,0.17011575321530403,0.5925778297446959,1.107939490819794,1.9999999999905191
1M_gz,1,990830,py,0.5834353699207768,13,1.8741230789487417e-11,0.20505854976163856,0.6657780060175484,1.195948967286538,1.9999999998463518
1M_gz,1,990830,py,0.5834353699207768,14,8.515410598874951e-14,0.23723664504689257,0.7287154245081346,1.2652997525768879,1.999999999943054
1M_gz,1,990830,py,0.5834353699207768,15,2.747468919039875e-12,0.26396164167475755,0.7817078992917198,1.328760183812665,1.9999999998579696
1M_gz,1,990830,py,0.5834353699207768,16,5.636269229114532e-12,0.2854723303613239,0.8232413364399476,1.3834805574972533,1.9999999999963118
1M_gz,1,990830,py,0.5834353699207768,17,3.339550858072471e-13,0.30353925583370195,0.8608491790053525,1.4342908465407005,1.9999999999102225
1M_gz,1,990830,py,0.5834353699207768,18,1.6395773627664312e-12,0.31413268822590834,0.8865489912045744,1.4749571123572134,1.9999999999709557
1M_gz,1,990830,py,0.5834353699207768,19,5.128120150743598e-13,0.32452842101650403,0.9119146121367827,1.5154979870374823,1.9999999999590385
1M_gz,1,990830,py,0.5834353699207768,20,7.728817585928027e-12,0.33183087324857763,0.9339248678553436,1.55121013269517,1.999999999993853
1M_gz,1,990830,py,0.5834353699207768,21,3.223532551999142e-12,0.3402503659264271,0.9573021502578309,1.5905708987945897,1.9999999999985054
1M_gz,1,990830,py,0.5834353699207768,22,2.4837132350796765e-11,0.35196231901351827,0.9801124076117327,1.6231905297106504,1.9999999999991123
1M_gz,1,990830,py,0.5834353699207768,23,2.6237900740966325e-12,0.35770528681008695,1.0008554831804735,1.6559341782445443,1.9999999999761278
1M_gz,1,990830,py,0.5834353699207768,24,2.1511681325137033e-12,0.3677673931670249,1.026948996822278,1.686271837932326,1.9999999999985199
1M_gz,1,990830,py,0.5834353699207768,25,1.049782483164563e-11,0.37590227891675143,1.0545488570707529,1.7128142670503372,1.9999999999723008
1M_gz,1,990830,py,0.5834353699207768,26,4.707345624410664e-14,0.3807644906159706,1.082978136438276,1.738281124412612,1.9999999999793856
1M_gz,1,990830,py,0.5834353699207768,27,8.017997377152142e-11,0.3870820383231257,1.1173187793731831,1.7603730064775813,1.9999999999987206
1M_gz,1,990830,py,0.5834353699207768,28,2.7663427104585026e-12,0.39481531760613037,1.1541830694011663,1.7824355714447886,1.9999999999957456
1M_gz,1,990830,py,0.5834353699207768,29,9.081935203880676e-11,0.40252843847932973,1.1802728129857978,1.7998515494054788,1.9999999999984475
1M_gz,1,990830,py,0.5834353699207768,30,5.3512749786932545e-14,0.41620099572756664,1.214407147671977,1.8168641267406909,1.9999999999985998
1M_gz,1,990830,py,0.5834353699207768,31,1.3442580382161395e-12,0.43496536505186634,1.2524402479972108,1.8299772056143566,1.999999999995716
1M_gz,1,990830,py,0.5834353699207768,32,6.963185583686027e-11,0.4685391380196771,1.3046026752179851,1.8440861019230608,1.9999999999934799
1M_gz,1,990830,py,0.5834353699207768,33,1.6877910180568279e-10,0.5072821966326545,1.3582219020863544,1.8530386718750407,1.999999999997554
1M_gz,1,990830,py,0.5834353699207768,34,2.2070123506523487e-12,0.5504939089940242,1.4114252257317985,1.861367418427784,1.9999999999953801
1M_gz,1,990830,py,0.5834353699207768,35,1.46246348364798e-11,0.6021321390375047,1.4604340412719214,1.8686732405161575,1.9999999999999643
1M_gz,1,990830,py,0.5834353699207768,36,4.970579503549288e-12,0.6607312596634878,1.5021934881870929,1.8743293372223386,1.999999999998201
1M_gz,1,990830,py,0.5834353699207768,37,9.609202322735655e-11,0.7237791039131959,1.5395216475924849,1.8794720045898594,1.999999999999996
1M_gz,1,990830,py,0.5834353699207768,38,1.1272327515854386e-10,0.7978864126838209,1.5697970294915486,1.884308769243286,1.9999999999718456
1M_gz,1,990830,py,0.5834353699207768,39,9.200280537413619e-10,0.8708821520627946,1.5959825857178873,1.8901568980554553,1.9999999999991416
1M_gz,1,990830,py,0.5834353699207768,40,2.892575068358383e-12,0.9330364933371004,1.6184255717395788,1.8950124150002075,1.9999999999969535
1M_gz,1,990830,py,0.5834353699207768,41,2.4924506902834764e-13,0.9893289319299228,1.6402613409081923,1.900633616471262,1.9999999999957712
1M_gz,1,990830,py,0.5834353699207768,42,4.9994119954988037e-11,1.0406579904869044,1.6607568111528535,1.9053351902744122,1.9999999999988218
1M_gz,1,990830,py,0.5834353699207768,43,1.8891554987021664e-11,1.0919860503067982,1.6811422007767882,1.911092584541592,1.9999999999999765
1M_gz,1,990830,py,0.5834353699207768,44,1.519839809560608e-11,1.1493054292812352,1.6992952833715724,1.9159458350689664,1.9999999999885365
1M_gz,1,990830,py,0.5834353699207768,45,0.15254964547328254,1.2142070441562538,1.7219214072251536,1.921982027302017,1.9999999999997922
1M_gz,1,990830,py,0.5834353699207768,46,0.2977348030964432,1.2750071271276955,1.740968130251196,1.9265259805597381,1.999999999986593
1M_gz,1,990830,py,0.5834353699207768,47,0.43857368785857676,1.3329553190851307,1.755519866375181,1.929210146538099,1.9999999999928417
1M_gz,1,990830,py,0.5834353699207768,48,0.549291890975599,1.3769668968203117,1.7627602023563704,1.9287530013756968,1.999999999999891
1M_gz,1,990830,py,0.5834353699207768,49,0.6261893832081024,1.402807720841246,1.7574595195194647,1.9205558360468418,1.9999999999940914
1M_gz,1,990830,py,0.5834353699207768,50,0.6319916858059176,1.3789414523566235,1.6866385376878863,1.8769148725018177,1.9999999999997808
1M_gz,1,990830,R,0.6215903781949541,1,0.0,0.000707315129001268,0.003965312760435713,0.0181324237379194,0.04427001720710955
1M_gz,1,990830,R,0.6215903781949541,2,5.773159728050814e-15,0.004147551710105057,0.019290876527859158,0.0704358230441301,0.16986811869854745
1M_gz,1,990830,R,0.6215903781949541,3,3.8968828164342995e-14,0.007755738043400379,0.03648996843427044,0.12532928398736187,0.30168532640028434
1M_gz,1,990830,R,0.6215903781949541,4,3.885780586188048e-12,0.011840597018150184,0.056157188391489365,0.18786154663515756,0.451889732184937
1M_gz,1,990830,R,0.6215903781949541,5,3.12194714524594e-13,0.016524162085387567,0.07809632599996597,0.259046886275092,0.6228246299475856
1M_gz,1,990830,R,0.6215903781949541,6,3.3306690738754696e-15,0.022732626875528544,0.10417683599783556,0.3421975655790589,0.8213879179663273
1M_gz,1,990830,R,0.6215903781949541,7,1.3711254354120683e-13,0.029657885641428072,0.13368912896638058,0.4302012626439616,1.0310064706158726
1M_gz,1,990830,R,0.6215903781949541,8,7.749356711883593e-14,0.03834539785125135,0.16923384549101844,0.5185747799247729,1.2389131481472735
1M_gz,1,990830,R,0.6215903781949541,9,2.7644553313166398e-14,0.04889965702643759,0.21226927634953452,0.6100408504320338,1.4517149885873493
1M_gz,1,990830,R,0.6215903781949541,10,2.5790480862042386e-13,0.0621815716452353,0.26196492428445517,0.703345431862096,1.6650873619518374
1M_gz,1,990830,R,0.6215903781949541,11,1.0320633236915455e-12,0.0783517005438169,0.3166533617273353,0.7973821068648895,1.8759271197213896
