dataset,it,size,implementation,step,t,clusters
fullsample,1,1000000,R,CreateSeuratObject,494.513260382,32
fullsample,1,1000000,R,NormalizeData,209.343361841,32
fullsample,1,1000000,R,FindVariableFeatures,580.821937825,32
fullsample,1,1000000,R,ScaleData,165.115586808,32
fullsample,1,1000000,R,RunPCA,1192.363504354,32
fullsample,1,1000000,R,FindNeighbors,630.331945926,32
fullsample,1,1000000,R,FindClusters,3556.287554931,32
fullsample,1,1000000,R,RunUMAP,3051.519003754,32
fullsample,1,1000000,R,FindAllMarkers,,32
fullsample,1,1000000,jl,CreateSeuratObject,79.30439287,31
fullsample,1,1000000,jl,NormalizeData,55.964860042,31
fullsample,1,1000000,jl,FindVariableFeatures,29.318933047,31
fullsample,1,1000000,jl,ScaleData,8.491973856,31
fullsample,1,1000000,jl,RunPCA,1280.39579958,31
fullsample,1,1000000,jl,FindNeighbors,90.150274285,31
fullsample,1,1000000,jl,FindClusters,1594.678288938,31
fullsample,1,1000000,jl,RunUMAP,3554.52665285,31
fullsample,1,1000000,jl,FindAllMarkers,2286.812774129,31
fullsample,1,1000000,jl32,CreateSeuratObject,90.912546029,39
fullsample,1,1000000,jl32,NormalizeData,61.120805911,39
fullsample,1,1000000,jl32,FindVariableFeatures,29.45613156,39
fullsample,1,1000000,jl32,ScaleData,7.730420416,39
fullsample,1,1000000,jl32,RunPCA,592.691341594,39
fullsample,1,1000000,jl32,FindNeighbors,72.858937837,39
fullsample,1,1000000,jl32,FindClusters,1359.211796946,39
fullsample,1,1000000,jl32,RunUMAP,3240.654063316,39
fullsample,1,1000000,jl32,FindAllMarkers,2482.214362075,39
fullsample,1,1000000,py,CreateSeuratObject,72.161198271,21
fullsample,1,1000000,py,NormalizeData,51.481426979,21
fullsample,1,1000000,py,FindVariableFeatures,413.943268727,21
fullsample,1,1000000,py,ScaleData,28.827438153,21
fullsample,1,1000000,py,RunPCA,241.350751585,21
fullsample,1,1000000,py,FindNeighbors,195.88949092,21
fullsample,1,1000000,py,FindClusters,1272.576466546,21
fullsample,1,1000000,py,RunUMAP,3822.690343443,21
fullsample,1,1000000,py,FindAllMarkers,30975.568125947,21
fullsample,1,1000000,jl32_opt,CreateSeuratObject,72.218755164,39
fullsample,1,1000000,jl32_opt,NormalizeData,49.737867229,39
fullsample,1,1000000,jl32_opt,FindVariableFeatures,26.68056638,39
fullsample,1,1000000,jl32_opt,ScaleData,5.957588406,39
fullsample,1,1000000,jl32_opt,RunPCA,169.503171113,39
fullsample,1,1000000,jl32_opt,FindNeighbors,72.895423768,39
fullsample,1,1000000,jl32_opt,FindClusters,1349.372871705,39
fullsample,1,1000000,jl32_opt,RunUMAP,2358.447300931,39
fullsample,1,1000000,jl32_opt,FindAllMarkers,601.498527429,39
fullsample,1,1000000,jl_opt,CreateSeuratObject,75.99953052,33
fullsample,1,1000000,jl_opt,NormalizeData,57.021551428,33
fullsample,1,1000000,jl_opt,FindVariableFeatures,23.615324222,33
fullsample,1,1000000,jl_opt,ScaleData,6.965199097,33
fullsample,1,1000000,jl_opt,RunPCA,206.803885462,33
fullsample,1,1000000,jl_opt,FindNeighbors,88.731010442,33
fullsample,1,1000000,jl_opt,FindClusters,1533.892766502,33
fullsample,1,1000000,jl_opt,RunUMAP,2525.698307118,33
fullsample,1,1000000,jl_opt,FindAllMarkers,570.943837601,33
subsample_it_1_size_100000,1,100000,R,CreateSeuratObject,36.458079086,25
subsample_it_1_size_100000,1,100000,R,NormalizeData,15.419448837,25
subsample_it_1_size_100000,1,100000,R,FindVariableFeatures,42.351954394,25
