dataset,it,size,implementation,step,t,clusters
fullsample,1,1000000,R,CreateSeuratObject,494.513260382,32
fullsample,1,1000000,R,NormalizeData,209.343361841,32
fullsample,1,1000000,R,FindVariableFeatures,580.821937825,32
fullsample,1,1000000,R,ScaleData,165.115586808,32
fullsample,1,1000000,R,RunPCA,1192.363504354,32
fullsample,1,1000000,R,FindNeighbors,630.331945926,32
fullsample,1,1000000,R,FindClusters,3556.287554931,32
fullsample,1,1000000,R,RunUMAP,3051.519003754,32
fullsample,1,1000000,R,FindAllMarkers,,32
fullsample,1,1000000,jl,CreateSeuratObject,79.30439287,31
fullsample,1,1000000,jl,NormalizeData,55.964860042,31
fullsample,1,1000000,jl,FindVariableFeatures,29.318933047,31
fullsample,1,1000000,jl,ScaleData,8.491973856,31
fullsample,1,1000000,jl,RunPCA,1280.39579958,31
fullsample,1,1000000,jl,FindNeighbors,90.150274285,31
fullsample,1,1000000,jl,FindClusters,1594.678288938,31
fullsample,1,1000000,jl,RunUMAP,3554.52665285,31
fullsample,1,1000000,jl,FindAllMarkers,2286.812774129,31
fullsample,1,1000000,jl32,CreateSeuratObject,77.229920743,39
fullsample,1,1000000,jl32,NormalizeData,48.237008549,39
fullsample,1,1000000,jl32,FindVariableFeatures,24.137070359,39
fullsample,1,1000000,jl32,ScaleData,6.235475317,39
fullsample,1,1000000,jl32,RunPCA,551.88261909,39
fullsample,1,1000000,jl32,FindNeighbors,69.029495213,39
fullsample,1,1000000,jl32,FindClusters,1415.274941784,39
fullsample,1,1000000,jl32,RunUMAP,3234.014983844,39
fullsample,1,1000000,jl32,FindAllMarkers,2519.834632732,39
fullsample,1,1000000,py,CreateSeuratObject,114.798681975,21
fullsample,1,1000000,py,NormalizeData,51.7501405,21
fullsample,1,1000000,py,FindVariableFeatures,524.248654864,21
fullsample,1,1000000,py,ScaleData,27.505282517,21
fullsample,1,1000000,py,RunPCA,275.241960612,21
fullsample,1,1000000,py,FindNeighbors,119.511429139,21
fullsample,1,1000000,py,FindClusters,1234.891701948,21
fullsample,1,1000000,py,RunUMAP,3664.056589375,21
fullsample,1,1000000,py,FindAllMarkers,29738.447303241,21
fullsample,1,1000000,jl32_opt,CreateSeuratObject,75.432808117,37
fullsample,1,1000000,jl32_opt,NormalizeData,49.25251212,37
fullsample,1,1000000,jl32_opt,FindVariableFeatures,27.212696286,37
fullsample,1,1000000,jl32_opt,ScaleData,5.727856434,37
fullsample,1,1000000,jl32_opt,RunPCA,165.008129512,37
fullsample,1,1000000,jl32_opt,FindNeighbors,75.862606219,37
fullsample,1,1000000,jl32_opt,FindClusters,1241.752254429,37
fullsample,1,1000000,jl32_opt,RunUMAP,2551.596007624,37
fullsample,1,1000000,jl32_opt,FindAllMarkers,544.96177671,37
fullsample,1,1000000,jl_opt,CreateSeuratObject,76.675770474,31
fullsample,1,1000000,jl_opt,NormalizeData,56.540115422,31
fullsample,1,1000000,jl_opt,FindVariableFeatures,24.222857845,31
fullsample,1,1000000,jl_opt,ScaleData,7.057682149,31
fullsample,1,1000000,jl_opt,RunPCA,201.00233997,31
fullsample,1,1000000,jl_opt,FindNeighbors,84.058805723,31
fullsample,1,1000000,jl_opt,FindClusters,1228.004430431,31
fullsample,1,1000000,jl_opt,RunUMAP,2666.741195442,31
fullsample,1,1000000,jl_opt,FindAllMarkers,513.051287555,31
subsample_it_1_size_100000,1,100000,R,CreateSeuratObject,36.878111246,25
subsample_it_1_size_100000,1,100000,R,NormalizeData,14.009921444,25
subsample_it_1_size_100000,1,100000,R,FindVariableFeatures,41.176689398,25
